Sublanço,Hora,Probabilidade incidência,n_incidencias_ano
Oeiras - Carcavelos,17,0.115068493,50
Monsanto - Miraflores (A5/IC17),9,0.071232877,28
Monsanto - Miraflores (A5/IC17),10,0.046575342,18
Miraflores (A5/IC17) - Linda-a-Velha,14,0.106849315,47
Estádio Nacional - Oeiras,15,0.109589041,44
Carcavelos - Estoril,19,0.071232877,29
Oeiras - Carcavelos,22,0.043835616,16
Viaduto Duarte Pacheco - Cruz das Oliveiras,15,0.136986301,60
Alvide - Cascais,12,0.01369863,5
Monsanto - Miraflores (A5/IC17),22,0.016438356,8
Miraflores (A5/IC17) - Linda-a-Velha,8,0.071232877,31
Alvide - Cascais,15,0.038356164,14
Estoril - Alcabideche (A5/A16),18,0.090410959,34
Linda-a-Velha - Estádio Nacional,18,0.150684932,73
Alvide - Cascais,18,0.032876712,13
Oeiras - Carcavelos,21,0.079452055,30
Viaduto Duarte Pacheco - Cruz das Oliveiras,21,0.082191781,41
Miraflores (A5/IC17) - Linda-a-Velha,5,0.01369863,5
Viaduto Duarte Pacheco - Cruz das Oliveiras,22,0.095890411,48
Alcabideche (A5/A16) - Alvide,10,0.032876712,12
Miraflores (A5/IC17) - Linda-a-Velha,12,0.065753425,27
Alvide - Cascais,13,0.035616438,14
Miraflores (A5/IC17) - Linda-a-Velha,13,0.087671233,37
Miraflores (A5/IC17) - Linda-a-Velha,7,0.02739726,11
Estoril - Alcabideche (A5/A16),12,0.016438356,6
Miraflores (A5/IC17) - Linda-a-Velha,20,0.073972603,29
Linda-a-Velha - Estádio Nacional,16,0.093150685,42
Estoril - Alcabideche (A5/A16),0,0.010958904,5
Linda-a-Velha - Estádio Nacional,6,0.032876712,14
Estoril - Alcabideche (A5/A16),21,0.032876712,12
Alvide - Cascais,17,0.019178082,7
Estádio Nacional - Oeiras,5,0.019178082,7
Estádio Nacional - Oeiras,6,0.030136986,11
Alvide - Cascais,1,0.008219178,4
Estoril - Alcabideche (A5/A16),16,0.02739726,10
Viaduto Duarte Pacheco - Cruz das Oliveiras,6,0.024657534,10
Alcabideche (A5/A16) - Alvide,2,0.002739726,1
Oeiras - Carcavelos,3,0.024657534,9
Monsanto - Miraflores (A5/IC17),4,0.008219178,3
Viaduto Duarte Pacheco - Cruz das Oliveiras,7,0.043835616,19
Oeiras - Carcavelos,0,0.054794521,20
Oeiras - Carcavelos,5,0.019178082,7
Alcabideche (A5/A16) - Alvide,8,0.010958904,4
Estoril - Alcabideche (A5/A16),1,0.02739726,10
Linda-a-Velha - Estádio Nacional,3,0.008219178,4
Viaduto Duarte Pacheco - Cruz das Oliveiras,3,0.016438356,6
Viaduto Duarte Pacheco - Cruz das Oliveiras,4,0.019178082,9
Estádio Nacional - Oeiras,2,0.043835616,18
Monsanto - Miraflores (A5/IC17),23,0.024657534,10
Linda-a-Velha - Estádio Nacional,4,0.01369863,5
Carcavelos - Estoril,21,0.054794521,20
Alvide - Cascais,23,0.01369863,5
Monsanto - Miraflores (A5/IC17),3,0.002739726,1
Carcavelos - Estoril,4,0.021917808,8
Cruz das Oliveiras - Monsanto,5,0.010958904,6
Monsanto - Miraflores (A5/IC17),21,0.021917808,9
Estoril - Alcabideche (A5/A16),22,0.01369863,5
Cruz das Oliveiras - Monsanto,0,0.04109589,18
Carcavelos - Estoril,7,0.082191781,31
Carcavelos - Estoril,20,0.076712329,29
Miraflores (A5/IC17) - Linda-a-Velha,23,0.021917808,9
Oeiras - Carcavelos,6,0.021917808,8
Oeiras - Carcavelos,2,0.030136986,12
Alvide - Cascais,11,0.005479452,2
Monsanto - Miraflores (A5/IC17),2,0.010958904,4
Estádio Nacional - Oeiras,1,0.04109589,16
Estoril - Alcabideche (A5/A16),6,0.005479452,2
Alcabideche (A5/A16) - Alvide,3,0.002739726,1
Miraflores (A5/IC17) - Linda-a-Velha,3,0.002739726,1
Carcavelos - Estoril,5,0.008219178,5
Carcavelos - Estoril,1,0.016438356,6
Viaduto Duarte Pacheco - Cruz das Oliveiras,5,0.005479452,2
Monsanto - Miraflores (A5/IC17),20,0.032876712,14
Monsanto - Miraflores (A5/IC17),12,0.01369863,5
Alvide - Cascais,16,0.016438356,6
Alvide - Cascais,7,0.005479452,2
Estoril - Alcabideche (A5/A16),2,0.002739726,2
Carcavelos - Estoril,2,0.019178082,7
Cruz das Oliveiras - Monsanto,22,0.054794521,28
Cruz das Oliveiras - Monsanto,1,0.01369863,5
Estoril - Alcabideche (A5/A16),4,0.005479452,2
Alcabideche (A5/A16) - Alvide,13,0.01369863,5
Viaduto Duarte Pacheco - Cruz das Oliveiras,1,0.019178082,7
Alvide - Cascais,20,0.008219178,3
Cruz das Oliveiras - Monsanto,3,0.010958904,4
