Stop Start,Stop End,Lat Start,Long Start,Lat End,Long End,Distance (km),Duration (min)
Feira,Santo Ovídio,40.93107064,-8.569931162,41.08855679,-8.585936813,19,11
Espinho (IC24),Coimbra Norte (A1/A14),41.00603673,-8.582256038,40.26903044,-8.483327664,120,64
Espinho (IC24),Coimbra Sul,41.00603673,-8.582256038,40.18951372,-8.488160602,129,69
Espinho (IC24),Mealhada,41.00603673,-8.582256038,40.37286613,-8.493435181,119,65
Espinho (IC24),Albergaria (A1/IP5),41.00603673,-8.582256038,40.70489581,-8.522044976,59,35
Espinho (IC24),Portagem,41.00603673,-8.582256038,40.68924722,-8.523961111,57,34
Espinho (IC24),Estarreja,41.00603673,-8.582256038,40.78236382,-8.544700822,68,40
Espinho (IC24),Aveiro Sul,41.00603673,-8.582256038,40.56379544,-8.561086614,118,64
Espinho (IC24),Feira,41.00603673,-8.582256038,40.93107064,-8.569931162,61,34
Espinho (IC24),Espinho (IC24),41.00603673,-8.582256038,41.00603673,-8.582256038,0,0
Espinho (IC24),Feiteira,41.00603673,-8.582256038,41.04830372,-8.571150958,5,3
Espinho (IC24),Carvalhos,41.00603673,-8.582256038,41.07289744,-8.580874642,8,5
Espinho (IC24),Jaca,41.00603673,-8.582256038,41.08855679,-8.585936813,10,6
Espinho (IC24),Santo Ovídio,41.00603673,-8.582256038,41.08855679,-8.585936813,10,6
Feiteira,Coimbra Norte (A1/A14),41.04830372,-8.571150958,40.26903044,-8.483327664,115,61
Feiteira,Coimbra Sul,41.04830372,-8.571150958,40.18951372,-8.488160602,124,66
Feiteira,Mealhada,41.04830372,-8.571150958,40.37286613,-8.493435181,114,62
Feiteira,Albergaria (A1/IP5),41.04830372,-8.571150958,40.70489581,-8.522044976,54,32
Feiteira,Portagem,41.04830372,-8.571150958,40.68924722,-8.523961111,52,30
Feiteira,Estarreja,41.04830372,-8.571150958,40.78236382,-8.544700822,63,37
Feiteira,Aveiro Sul,41.04830372,-8.571150958,40.56379544,-8.561086614,113,61
Feiteira,Feira,41.04830372,-8.571150958,40.93107064,-8.569931162,56,31
Feiteira,Espinho (IC24),41.04830372,-8.571150958,41.00603673,-8.582256038,32,19
Feiteira,Feiteira,41.04830372,-8.571150958,41.04830372,-8.571150958,0,0
Feiteira,Carvalhos,41.04830372,-8.571150958,41.07289744,-8.580874642,3,2
Feiteira,Jaca,41.04830372,-8.571150958,41.08855679,-8.585936813,5,3
Feiteira,Santo Ovídio,41.04830372,-8.571150958,41.08855679,-8.585936813,5,3
Carvalhos,Coimbra Norte (A1/A14),41.07289744,-8.580874642,40.26903044,-8.483327664,119,64
Carvalhos,Coimbra Sul,41.07289744,-8.580874642,40.18951372,-8.488160602,128,69
Carvalhos,Mealhada,41.07289744,-8.580874642,40.37286613,-8.493435181,118,65
Carvalhos,Albergaria (A1/IP5),41.07289744,-8.580874642,40.70489581,-8.522044976,60,37
Carvalhos,Portagem,41.07289744,-8.580874642,40.68924722,-8.523961111,56,33
Carvalhos,Estarreja,41.07289744,-8.580874642,40.78236382,-8.544700822,69,41
Carvalhos,Aveiro Sul,41.07289744,-8.580874642,40.56379544,-8.561086614,117,64
Carvalhos,Feira,41.07289744,-8.580874642,40.93107064,-8.569931162,60,34
Carvalhos,Espinho (IC24),41.07289744,-8.580874642,41.00603673,-8.582256038,36,22
