Stop Start,Stop End,Lat Start,Long Start,Lat End,Long End
Nó Estádio Nacional,Nó de Alverca,38.71368991,-9.261576695,38.89293583,-9.048121375
Nó de Oeiras,Nó Viaduto Duarte Pacheco,38.71245993,-9.306240464,38.72361405,-9.177117052
Nó de Oeiras,Nó Cruz das Oliveiras,38.71245993,-9.306240464,38.70798737,-9.339136704
Nó de Oeiras,Nó de Monsanto,38.71245993,-9.306240464,38.71960798,-9.209900182
Nó de Oeiras,Nó de Miraflores (A5/IC17),38.71245993,-9.306240464,38.7168212,-9.220638205
Nó de Oeiras,Nó de Linda-a-Velha,38.71245993,-9.306240464,38.72091034,-9.242324413
Nó de Oeiras,Nó Estádio Nacional,38.71245993,-9.306240464,38.71368991,-9.261576695
Nó de Oeiras,Nó de Oeiras,38.71245993,-9.306240464,38.71245993,-9.306240464
Nó de Oeiras,Nó de Carcavelos,38.71245993,-9.306240464,38.70798737,-9.339136704
Nó de Oeiras,Nó do Estoril,38.71245993,-9.306240464,38.71805517,-9.39196317
Nó de Oeiras,Nó de Alcabideche,38.71245993,-9.306240464,38.72736771,-9.420983178
Nó de Oeiras,Nó de Alvide,38.71245993,-9.306240464,38.72736771,-9.420983178
Nó de Oeiras,Nó de Cascais,38.71245993,-9.306240464,38.72179904,-9.442793126
Nó de Oeiras,Nó do Estádio Nacional 3,38.71245993,-9.306240464,38.70939121,-9.263853108
Nó de Oeiras,Nó do Estádio Nacional (A5/A9),38.71245993,-9.306240464,38.71747539,-9.269467602
Nó de Oeiras,Nó de Queluz,38.71245993,-9.306240464,38.74240685,-9.275880729
Nó de Oeiras,Nó A9/A16,38.71245993,-9.306240464,38.76849891,-9.268702771
Nó de Oeiras,Nó Radial da Pontinha,38.71245993,-9.306240464,38.7845551,-9.242929469
Nó de Oeiras,Nó Radial de Odivelas,38.71245993,-9.306240464,38.82468012,-9.192526726
Nó de Oeiras,Nó A9/A8,38.71245993,-9.306240464,38.85316867,-9.171412221
Nó de Oeiras,Nó de Bucelas (Zambujal),38.71245993,-9.306240464,38.86746531,-9.143068282
Nó de Oeiras,Nó A9/A10,38.71245993,-9.306240464,38.90771835,-9.077247376
Nó de Oeiras,Nó de Alverca,38.71245993,-9.306240464,38.89293583,-9.048121375
Nó de Carcavelos,Nó Viaduto Duarte Pacheco,38.70798737,-9.339136704,38.72361405,-9.177117052
Nó de Carcavelos,Nó Cruz das Oliveiras,38.70798737,-9.339136704,38.70798737,-9.339136704
Nó de Carcavelos,Nó de Monsanto,38.70798737,-9.339136704,38.71960798,-9.209900182
Nó de Carcavelos,Nó de Miraflores (A5/IC17),38.70798737,-9.339136704,38.7168212,-9.220638205
Nó de Carcavelos,Nó de Linda-a-Velha,38.70798737,-9.339136704,38.72091034,-9.242324413
Nó de Carcavelos,Nó Estádio Nacional,38.70798737,-9.339136704,38.71368991,-9.261576695
Nó de Carcavelos,Nó de Oeiras,38.70798737,-9.339136704,38.71245993,-9.306240464
Nó de Carcavelos,Nó de Carcavelos,38.70798737,-9.339136704,38.70798737,-9.339136704
