,No.Voltas,Turno,Carro,C.O.,Tempo_Resolucao_Incid,Tempo_Desloc_Incid,Tempo_Nos,Tempo_Patrulha,Temp_CO_Rota:,Tempo_Total,Tempo_Abertura,Nós,Extensoes_consideradas,Sentido,Auto Estradas
32,2,0,8,Carregado,0.473128465109589,0.16931506835000001,2.1666666666666665,2.515,0.03333333333333333,5.3574435334595885,6.75,"[50.0, 20, 40, 20.0]","[11.0, 6.9, 32.4]",Sequência AE_1,A1 + A10
33,2,0,9,Carregado,0.3319207861506848,0.0,1.0,2.775,1.3666666666666667,5.473587452817352,6.75,"[20.0, 20, 20.0]","[51.525, 3.975]",Sequência AE_1,A10 + A1
34,2,0,10,Carregado,1.5256957766100459,0.12630136970000003,0.8333333333333334,0.5429999999999999,2.7666666666666666,5.794997146310046,6.75,"[20.0, 20, 10.0]","[3.4, 7.46]",Sequência AE_1,A1
35,2,0,11,Carregado,0.9337071112333332,0.03000000005,1.1666666666666667,0.652,3.066666666666667,5.849040444616666,6.75,"[10.0, 20, 20, 20]","[6.24, 2.95, 3.85]",Sequência AE_1,A1
36,2,1,12,Feira,2.4513893972041094,0.09643835619999999,1.8333333333333333,1.0837,0.0,5.464861086737443,6.75,"[20, 20, 20, 20, 20, 10.0]","[1.839, 2.745, 3.37, 3.92, 9.8]",Sequência AE_1,A1
37,2,1,13,Feira,1.8681049067945206,0.46666666666666673,1.0,2.102,0.0,5.436771573461187,6.75,"[10.0, 20, 20, 10.0]","[16.832, 10.428, 14.78]",Sequência AE_1,A1
38,2,1,14,Mealhada,1.136577489644749,0.038630136733333334,3.4166666666666665,3.8170000000000006,0.0,8.40887429304475,6.75,"[10.0, 20, 20, 20, 20, 20, 20, 20, 20, 20, 15.0]","[23.633, 11.707, 1.1, 5.5, 9.6, 8.0, 4.8, 7.2, 1.6, 3.2]",Sequência AE_1,A1 + A14
39,2,1,15,Leiria,1.0747212111013698,0.22063926939999998,1.25,3.5014499999999997,0.0,6.046810480501369,6.75,"[15.0, 20, 30, 10.0]","[49.303, 7.681, 13.045]",Sequência AE_1,A14 + A1
40,2,1,16,Leiria,1.3022654681735162,0.3478995433833333,0.75,1.9400499999999998,0.0,4.340215011556849,6.75,"[10.0, 20, 15.0]","[14.736, 24.065]",Sequência AE_1,A1
41,2,1,17,Leiria,1.949507557934703,0.4804109581,1.0833333333333333,3.1287499999999997,0.0,6.642001849368037,6.75,"[15.0, 20, 20, 10.0]","[15.235, 20.325, 27.015]",Sequência AE_1,A1
